日期,OPEN,CLOSE,HIGH,LOW,VOLUME,AMT,TURN,CHG,PCT_CHG
2015-01-05,1183.74,1190.86,1191.9,1167.74,2691060000.0,43412610000.0,2.7718,7.269999999999982,0.61423297
2015-01-06,1185.99,1216.36,1216.84,1179.85,2668030000.0,45491180000.0,2.7481,25.5,2.14130964
2015-01-07,1215.72,1214.9,1218.46,1207.64,2130480000.0,36926160000.0,2.1944,-1.459999999999809,-0.12003025
2015-01-08,1213.37,1216.44,1226.28,1209.03,2047780000.0,35592460000.0,2.1093,1.5399999999999636,0.1267594
2015-01-09,1213.15,1213.46,1230.84,1212.71,1932140000.0,35141380000.0,1.9901,-2.980000000000018,-0.24497715
2015-01-12,1210.88,1213.64,1219.98,1204.53,1798770000.0,32640830000.0,1.8527,0.18000000000006366,0.01483362
2015-01-13,1214.92,1230.5,1231.83,1213.34,1916800000.0,35140460000.0,1.9743,16.8599999999999,1.38920932
2015-01-14,1231.34,1222.44,1232.6,1217.81,1900740000.0,32543720000.0,1.9578,-8.059999999999945,-0.65501829
2015-01-15,1221.74,1228.5,1229.99,1220.95,1661620000.0,29252400000.0,1.7115,6.059999999999945,0.49572985
2015-01-16,1229.45,1254.74,1254.74,1229.45,2012250000.0,37054470000.0,2.0707,26.24000000000001,2.13593814
2015-01-19,1230.61,1232.86,1267.75,1215.8,2643820000.0,48085650000.0,2.7198,-21.88000000000011,-1.74378756
2015-01-20,1236.81,1274.24,1274.24,1236.65,2435050000.0,45568180000.0,2.505,41.38000000000011,3.35642328
2015-01-21,1277.06,1295.54,1297.7,1276.97,3020750000.0,54315610000.0,3.1075,21.299999999999955,1.67158463
2015-01-22,1297.05,1318.55,1318.55,1296.63,3168710000.0,57129500000.0,3.2595,23.00999999999999,1.77609337
2015-01-23,1322.17,1300.48,1322.54,1296.33,3195580000.0,52971820000.0,3.2867,-18.069999999999936,-1.37044481
2015-01-26,1303.76,1330.13,1330.13,1303.76,2766480000.0,48734810000.0,2.8454,29.65000000000009,2.27992741
2015-01-27,1332.96,1335.45,1336.79,1316.34,2800670000.0,49388000000.0,2.8792,5.319999999999936,0.39996091
2015-01-28,1333.3,1325.05,1339.43,1322.19,2453780000.0,45185320000.0,2.5221,-10.400000000000091,-0.77876371
2015-01-29,1317.47,1317.99,1327.1,1313.21,2223700000.0,38493750000.0,2.2856,-7.059999999999945,-0.53281008
2015-01-30,1319.93,1299.38,1325.92,1298.94,2099160000.0,37900730000.0,2.1569,-18.6099999999999,-1.41199857
2015-02-02,1288.08,1297.76,1305.59,1279.8,1900470000.0,34758650000.0,1.9528,-1.6200000000001182,-0.12467484
2015-02-03,1302.79,1325.88,1329.76,1302.7,2195540000.0,44398270000.0,2.256,28.12000000000012,2.1668105
