日期,主力合约,期货价格,现货价格,基差,到期日,剩余天数,期内分红,矫正基差,主力年化基差(%),年化基差(%)
2023-10-10,ic2312,5633.6,5630.3714,3.2286,2023-12-15,66,2.2176,5.4462,0.5349,0.5349
2023-10-11,ic2312,5621.6,5629.7886,-8.1886,2023-12-15,65,1.7609,-6.4277,-0.6411,-0.6411
2023-10-12,ic2312,5663.2,5671.6419,-8.4419,2023-12-15,64,1.7609,-6.681,-0.6718,-0.6718
2023-10-13,ic2312,5644.6,5633.3831,11.2169,2023-12-15,63,1.7609,12.9778,1.3347,1.3347
2023-10-16,ic2312,5592.2,5580.6666,11.5334,2023-12-15,60,1.7609,13.2943,1.4492,1.4492
2023-10-17,ic2312,5592.0,5595.3423,-3.3423,2023-12-15,59,1.7609,-1.5814,-0.1748,-0.1748
2023-10-18,ic2312,5532.0,5524.5988,7.4012,2023-12-15,58,1.7609,9.1621,1.0437,1.0437
2023-10-19,ic2312,5468.0,5464.027,3.973,2023-12-15,57,1.4863,5.4593,0.6398,0.6398
2023-10-20,ic2312,5423.8,5423.6748,0.1252,2023-12-15,56,1.3425,1.4677,0.1764,0.1764
2023-10-23,ic2312,5257.2,5290.3343,-33.1343,2023-12-15,53,1.3425,-31.7918,-4.1386,-4.1386
2023-10-24,ic2312,5306.0,5352.0123,-46.0123,2023-12-15,52,1.225,-44.7873,-5.8739,-5.8739
2023-10-25,ic2312,5341.4,5375.9983,-34.5983,2023-12-15,51,1.225,-33.3733,-4.4429,-4.4429
2023-10-26,ic2312,5371.0,5398.934,-27.934,2023-12-15,50,1.225,-26.709,-3.6114,-3.6114
2023-10-27,ic2312,5480.4,5492.0274,-11.6274,2023-12-15,49,1.0174,-10.61,-1.4391,-1.4391
2023-10-30,ic2312,5523.6,5546.3881,-22.7881,2023-12-15,46,1.0174,-21.7707,-3.1146,-3.1146
2023-10-31,ic2312,5509.4,5528.2385,-18.8385,2023-12-15,45,1.0174,-17.8211,-2.6147,-2.6147
2023-11-01,ic2312,5501.2,5509.9662,-8.7662,2023-12-15,44,1.0174,-7.7488,-1.1666,-1.1666
