日期,主力合约,期货价格,现货价格,基差,到期日,剩余天数,期内分红,矫正基差,主力年化基差(%),年化基差(%)
2023-10-26,im2312,5762.0,5811.6917,-49.6917,2023-12-15,50,0.0,-49.6917,-6.2417,-6.2417
2023-10-27,im2312,5892.6,5916.6783,-24.0783,2023-12-15,49,0.0,-24.0783,-3.0314,-3.0314
2023-10-30,im2312,5957.0,6006.5591,-49.5591,2023-12-15,46,0.0,-49.5591,-6.5469,-6.5469
2023-10-31,im2312,5928.8,5969.3413,-40.5413,2023-12-15,45,0.0,-40.5413,-5.5087,-5.5087
2023-11-01,im2312,5920.2,5958.4178,-38.2178,2023-12-15,44,0.0,-38.2178,-5.3208,-5.3208
2023-11-02,im2312,5863.0,5885.2468,-22.2468,2023-12-15,43,0.0,-22.2468,-3.2087,-3.2087
2023-11-03,im2312,5945.2,5973.167,-27.967,2023-12-15,42,0.0,-27.967,-4.069,-4.069
2023-11-06,im2312,6071.0,6096.5695,-25.5695,2023-12-15,39,0.0,-25.5695,-3.9252,-3.9252
2023-11-07,im2312,6082.4,6116.7569,-34.3569,2023-12-15,38,0.0,-34.3569,-5.3951,-5.3951
2023-11-08,im2312,6091.0,6138.9377,-47.9377,2023-12-15,37,0.0,-47.9377,-7.7033,-7.7033
2023-11-09,im2312,6053.0,6100.6929,-47.6929,2023-12-15,36,0.0,-47.6929,-7.9262,-7.9262
2023-11-10,im2312,6043.8,6088.5583,-44.7583,2023-12-15,35,0.0,-44.7583,-7.6663,-7.6663
2023-11-13,im2312,6092.2,6144.6346,-52.4346,2023-12-15,32,0.0,-52.4346,-9.7334,-9.7334
2023-11-14,im2312,6123.2,6181.9796,-58.7796,2023-12-15,31,0.0,-58.7796,-11.1952,-11.1952
2023-11-15,im2312,6153.4,6207.2678,-53.8678,2023-12-15,30,0.0,-53.8678,-10.5585,-10.5585
2023-11-16,im2312,6088.8,6145.1505,-56.3505,2023-12-15,29,0.0,-56.3505,-11.5414,-11.5414
2023-11-17,im2312,6153.2,6199.2278,-46.0278,2023-12-15,28,0.0,-46.0278,-9.6787,-9.6787
2023-11-20,im2312,6213.8,6253.2756,-39.4756,2023-12-15,25,0.0,-39.4756,-9.2167,-9.2167
2023-11-21,im2312,6161.8,6212.125,-50.325,2023-12-15,24,0.0,-50.325,-12.3204,-12.3204
2023-11-22,im2312,6093.0,6132.9704,-39.9704,2023-12-15,23,0.0,-39.9704,-10.3427,-10.3427
2023-11-23,im2312,6176.6,6197.5257,-20.9257,2023-12-15,22,0.0,-20.9257,-5.6019,-5.6019
2023-11-24,im2312,6081.0,6115.4072,-34.4072,2023-12-15,21,0.0,-34.4072,-9.7791,-9.7791
2023-11-27,im2312,6081.2,6111.3644,-30.1644,2023-12-15,18,0.0,-30.1644,-10.0087,-10.0087
2023-11-28,im2312,6097.2,6143.3015,-46.1015,2023-12-15,17,0.0,-46.1015,-16.1123,-16.1123
2023-11-29,im2312,6074.6,6113.366,-38.766,2023-12-15,16,0.0,-38.766,-14.4658,-14.4658
2023-11-30,im2312,6036.0,6080.547,-44.547,2023-12-15,15,0.0,-44.547,-17.827,-17.827
2023-12-01,im2312,6092.2,6130.051,-37.851,2023-12-15,14,0.0,-37.851,-16.0982,-16.0982
