日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率,update_time
2021-11-09,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5737.97,5759.47,5717.26,5755.41,30.69,0.54,61141.54,9150.49,3759.0,16.95,2024-11-08 11:42:00
2021-11-10,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5738.23,5740.01,5655.27,5736.36,-19.05,-0.33,66201.94,9790.26,3759.0,16.88,2024-11-08 11:42:00
2021-11-11,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5728.61,5808.88,5721.88,5806.49,70.12,1.22,70407.02,10154.77,3759.0,17.08,2024-11-08 11:42:00
2021-11-12,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5808.77,5826.64,5799.51,5821.34,14.85,0.26,68191.72,9825.75,3759.0,17.11,2024-11-08 11:42:00
2021-11-15,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5829.45,5838.14,5784.67,5806.09,-15.24,-0.26,70011.12,10383.5,3759.0,17.07,2024-11-08 11:42:00
2021-11-16,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5800.64,5829.78,5775.07,5781.86,-24.24,-0.42,69083.36,10010.13,3759.0,17.01,2024-11-08 11:42:00
2021-11-17,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5785.27,5825.8,5778.85,5825.66,43.8,0.76,64079.68,9294.36,3759.0,17.12,2024-11-08 11:42:00
2021-11-18,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5817.15,5820.9,5777.51,5787.9,-37.76,-0.65,70717.86,10006.59,3759.0,17.03,2024-11-08 11:42:00
2021-11-19,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5783.13,5855.33,5779.0,5853.57,65.67,1.13,70641.9,10013.11,3759.0,17.22,2024-11-08 11:42:00
2021-11-22,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5862.21,5916.08,5862.21,5914.58,61.01,1.04,72544.39,11268.64,3759.0,17.39,2024-11-08 11:42:00
2021-11-23,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5909.18,5931.63,5899.98,5913.53,-1.05,-0.02,75853.37,11038.79,3759.0,17.39,2024-11-08 11:42:00
2021-11-24,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5912.44,5931.39,5892.63,5911.98,-1.56,-0.03,72956.24,10678.03,3759.0,17.4,2024-11-08 11:42:00
2021-11-25,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5912.74,5916.31,5892.58,5897.33,-14.64,-0.25,67933.53,9906.91,3759.0,17.35,2024-11-08 11:42:00
2021-11-26,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5885.43,5895.52,5860.98,5876.02,-21.32,-0.36,67182.27,9823.8,3759.0,17.28,2024-11-08 11:42:00
2021-11-29,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5815.17,5888.28,5812.11,5887.0,10.99,0.19,69699.65,10542.57,3759.0,17.31,2024-11-08 11:42:00
2021-11-30,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5904.17,5917.68,5859.13,5891.45,4.45,0.08,74751.32,10983.72,3759.0,17.32,2024-11-08 11:42:00
2021-12-01,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5887.66,5906.55,5876.72,5906.55,15.1,0.26,71522.56,10247.49,3759.0,17.36,2024-11-08 11:42:00
2021-12-02,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5899.35,5916.04,5881.92,5887.0,-19.55,-0.33,74564.09,10317.46,3759.0,17.32,2024-11-08 11:42:00
2021-12-03,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5889.68,5936.82,5887.5,5935.4,48.4,0.82,72727.89,10220.64,3759.0,17.47,2024-11-08 11:42:00
2021-12-06,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5937.5,5952.5,5883.45,5887.77,-47.63,-0.8,80385.4,10905.01,3759.0,17.34,2024-11-08 11:42:00
2021-12-07,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5924.03,5929.19,5830.44,5869.69,-18.08,-0.31,77096.68,10855.58,3759.0,17.3,2024-11-08 11:42:00
2021-12-08,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5885.27,5960.45,5874.35,5960.45,90.76,1.55,68275.89,9969.78,3759.0,17.55,2024-11-08 11:42:00
2021-12-09,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5963.28,6036.2,5960.58,6015.09,54.64,0.92,81155.46,11522.11,3759.0,17.72,2024-11-08 11:42:00
2021-12-10,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5981.64,6015.24,5976.05,6008.62,-6.47,-0.11,76902.54,10962.1,3759.0,17.7,2024-11-08 11:42:00
2021-12-13,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,6037.26,6073.88,6030.49,6043.28,34.66,0.58,85097.48,12154.11,4098.0,18.2,2024-11-08 11:42:00
2021-12-14,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,6026.93,6037.43,6010.91,6021.94,-21.34,-0.35,78439.13,10868.53,4098.0,18.12,2024-11-08 11:42:00
2021-12-15,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,6012.54,6038.3,5986.03,5992.05,-29.89,-0.5,80821.31,10661.14,4098.0,18.03,2024-11-08 11:42:00
2021-12-16,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5996.39,6031.25,5982.7,6031.25,39.2,0.65,81141.0,10484.72,4098.0,18.16,2024-11-08 11:42:00
2021-12-17,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,6021.1,6021.1,5951.13,5951.29,-79.97,-1.32,87195.17,10965.21,4098.0,17.92,2024-11-08 11:42:00
2021-12-20,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5931.67,5966.99,5854.72,5860.27,-91.02,-1.53,88529.18,10944.73,4098.0,17.67,2024-11-08 11:42:00
2021-12-21,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5857.08,5920.82,5857.08,5918.82,58.55,1.0,84979.38,9496.28,4098.0,17.83,2024-11-08 11:42:00
2021-12-22,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5933.05,5947.73,5922.77,5937.93,19.11,0.32,88357.14,10031.23,4098.0,17.87,2024-11-08 11:42:00
2021-12-23,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5943.58,5962.69,5928.76,5959.16,21.23,0.36,83138.28,10177.37,4098.0,17.95,2024-11-08 11:42:00
2021-12-24,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5963.64,5965.68,5889.15,5896.64,-62.52,-1.05,85591.52,10733.78,4098.0,17.79,2024-11-08 11:42:00
2021-12-27,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5891.24,5928.4,5871.45,5897.16,0.52,0.01,72760.06,9287.91,4098.0,17.79,2024-11-08 11:42:00
2021-12-28,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5904.38,5940.12,5892.31,5939.42,42.26,0.72,71101.2,9502.14,4098.0,17.89,2024-11-08 11:42:00
2021-12-29,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5937.79,5937.79,5884.4,5885.31,-54.11,-0.91,69086.42,9435.98,4098.0,17.72,2024-11-08 11:42:00
2021-12-30,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5885.82,5953.22,5885.82,5935.27,49.96,0.85,72633.02,9626.31,4098.0,17.85,2024-11-08 11:42:00
2021-12-31,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5951.31,5974.07,5947.39,5969.8,34.53,0.58,75820.99,10021.71,4098.0,17.94,2024-11-08 11:42:00
2022-01-04,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5991.91,5995.15,5920.41,5958.74,-11.06,-0.19,93366.76,12105.16,4098.0,17.9,2024-11-08 11:42:00
2022-01-05,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5949.01,5949.79,5843.88,5868.58,-90.17,-1.51,95486.48,12329.05,4098.0,17.65,2024-11-08 11:42:00
2022-01-06,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5837.8,5868.57,5801.15,5855.53,-13.05,-0.22,83887.03,10754.58,4098.0,17.62,2024-11-08 11:42:00
2022-01-07,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5860.04,5878.78,5808.18,5811.61,-43.92,-0.75,94375.75,11428.84,4098.0,17.53,2024-11-08 11:42:00
2022-01-10,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5798.81,5841.27,5764.16,5839.64,28.02,0.48,77709.81,9964.35,4098.0,17.61,2024-11-08 11:42:00
2022-01-11,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5837.21,5852.9,5778.36,5787.49,-52.14,-0.89,79031.02,10003.9,4098.0,17.45,2024-11-08 11:42:00
2022-01-12,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5812.1,5859.0,5805.59,5857.31,69.81,1.21,76914.04,10045.28,4098.0,17.64,2024-11-08 11:42:00
2022-01-13,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5864.0,5864.0,5768.85,5768.85,-88.46,-1.51,82341.22,10350.95,4098.0,17.39,2024-11-08 11:42:00
2022-01-14,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5743.46,5783.96,5729.45,5746.23,-22.62,-0.39,84001.86,10437.71,4098.0,17.3,2024-11-08 11:42:00
2022-01-17,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5751.11,5819.22,5751.11,5814.11,67.88,1.18,77840.47,10587.72,4098.0,17.46,2024-11-08 11:42:00
2022-01-18,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5815.2,5846.64,5790.12,5823.33,9.22,0.16,88544.07,11335.09,4098.0,17.53,2024-11-08 11:42:00
2022-01-19,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5814.07,5830.4,5752.13,5784.12,-39.21,-0.67,77787.16,10090.34,4098.0,17.42,2024-11-08 11:42:00
2022-01-20,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5782.51,5811.04,5743.34,5756.52,-27.6,-0.48,85180.31,10646.29,4098.0,17.36,2024-11-08 11:42:00
2022-01-21,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5739.66,5747.83,5683.36,5695.02,-61.5,-1.07,72678.95,9320.56,4098.0,17.17,2024-11-08 11:42:00
2022-01-24,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5664.63,5722.18,5658.36,5704.39,9.37,0.16,62132.84,8209.0,4098.0,17.2,2024-11-08 11:42:00
2022-01-25,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5679.38,5702.41,5531.88,5531.88,-172.51,-3.02,73418.17,8878.49,4098.0,16.71,2024-11-08 11:42:00
2022-01-26,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5550.52,5586.75,5496.69,5568.44,36.57,0.66,58744.52,7465.71,4098.0,16.83,2024-11-08 11:42:00
2022-01-27,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,5566.47,5566.49,5431.03,5433.24,-135.2,-2.43,61417.39,7724.79,4098.0,16.46,2024-11-08 11:42:00
