日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额,update_time
2021-10-25,6261.01,6305.31,6248.74,6303.79,0.0059,8101.04,2313.41,2024-10-22 08:38:54
2021-10-26,6325.64,6337.0,6278.57,6290.37,-0.0021,8309.65,2379.47,2024-10-22 08:38:54
2021-10-27,6274.96,6274.96,6199.15,6223.71,-0.0106,8376.66,2380.61,2024-10-22 08:38:54
2021-10-28,6215.84,6249.27,6153.73,6176.99,-0.0075,9796.38,2640.28,2024-10-22 08:38:54
2021-10-29,6176.12,6276.5,6174.77,6276.5,0.0161,9127.64,2878.59,2024-10-22 08:38:54
2021-11-01,6228.47,6278.63,6190.21,6232.09,-0.0070999999999999995,9529.8,3064.88,2024-10-22 08:38:54
2021-11-02,6219.8,6269.09,6148.41,6201.3,-0.0049,10181.78,2906.69,2024-10-22 08:38:54
2021-11-03,6199.03,6232.01,6140.08,6172.13,-0.004699999999999999,8382.17,2427.5,2024-10-22 08:38:54
2021-11-04,6205.55,6263.82,6193.29,6244.99,0.0118,8336.48,2476.73,2024-10-22 08:38:54
2021-11-05,6234.21,6278.89,6214.59,6214.59,-0.0049,9432.28,2507.67,2024-10-22 08:38:54
2021-11-08,6211.3,6247.79,6189.64,6230.69,0.0026,8108.93,2346.0,2024-10-22 08:38:54
2021-11-09,6249.06,6262.43,6200.65,6244.16,0.0022,6898.85,2018.71,2024-10-22 08:38:54
2021-11-10,6223.31,6232.23,6116.51,6208.69,-0.005699999999999999,8211.92,2281.43,2024-10-22 08:38:54
2021-11-11,6206.16,6279.38,6195.91,6276.47,0.0109,9206.88,2414.87,2024-10-22 08:38:54
2021-11-12,6283.32,6293.47,6238.66,6263.55,-0.0021,8517.77,2205.29,2024-10-22 08:38:54
2021-11-15,6270.55,6274.42,6214.15,6237.2,-0.0042,8076.79,2277.01,2024-10-22 08:38:54
2021-11-16,6236.45,6310.43,6230.31,6263.49,0.0042,8140.97,2317.7,2024-10-22 08:38:54
2021-11-17,6275.87,6296.18,6254.46,6296.0,0.0052,7008.95,2026.27,2024-10-22 08:38:54
2021-11-18,6280.9,6280.9,6220.04,6233.37,-0.009899999999999999,8025.41,2063.51,2024-10-22 08:38:54
2021-11-19,6231.62,6308.39,6224.3,6305.3,0.0115,9415.54,2236.67,2024-10-22 08:38:54
2021-11-22,6321.8,6397.85,6321.21,6396.14,0.0144,10086.56,2827.25,2024-10-22 08:38:54
2021-11-23,6384.22,6416.99,6373.01,6387.24,-0.0014000000000000002,9919.03,2595.49,2024-10-22 08:38:54
2021-11-24,6393.22,6429.76,6380.78,6401.85,0.0023,9429.71,2669.9,2024-10-22 08:38:54
2021-11-25,6406.51,6416.65,6378.92,6386.75,-0.0024,8175.32,2286.19,2024-10-22 08:38:54
2021-11-26,6380.08,6409.59,6346.59,6365.89,-0.0033,8329.44,2211.66,2024-10-22 08:38:54
2021-11-29,6326.02,6403.92,6326.02,6403.92,0.006,8626.33,2506.12,2024-10-22 08:38:54
2021-11-30,6419.04,6422.72,6333.13,6367.18,-0.005699999999999999,8816.03,2464.83,2024-10-22 08:38:54
2021-12-01,6371.71,6380.68,6322.86,6346.04,-0.0033,8735.13,2271.04,2024-10-22 08:38:54
2021-12-02,6342.37,6372.63,6333.65,6353.28,0.0011,9738.77,2377.41,2024-10-22 08:38:54
2021-12-03,6353.57,6412.76,6353.36,6412.76,0.009399999999999999,9015.17,2477.67,2024-10-22 08:38:54
2021-12-06,6413.61,6434.46,6341.63,6345.35,-0.0105,9968.66,2513.33,2024-10-22 08:38:54
2021-12-07,6389.38,6394.72,6306.17,6339.1,-0.001,10823.96,2719.36,2024-10-22 08:38:54
2021-12-08,6361.76,6479.48,6358.82,6478.67,0.022000000000000002,9194.04,2628.02,2024-10-22 08:38:54
2021-12-09,6481.37,6598.87,6474.41,6568.18,0.0138,10057.14,2999.66,2024-10-22 08:38:54
2021-12-10,6518.9,6560.48,6510.73,6551.56,-0.0025,9233.7,2690.85,2024-10-22 08:38:54
2021-12-13,6595.95,6660.36,6581.31,6605.95,0.0083,9085.74,2878.0,2024-10-22 08:38:54
2021-12-14,6590.03,6620.89,6576.05,6598.14,-0.0012,7759.13,2250.04,2024-10-22 08:38:54
